username,wallet_address,events_participated,esports_trades,esports_markets,esports_volume,buy_volume,sell_volume,avg_trade_size,active_positions,recent_trades_14d,realized_pnl_esports,win_rate_esports,estimated_roi,copy_score,confidence_score,risk_score,verdict
0x9Fb234c86BdDE457F6AFFE35de721a6D2389af7B-1759490103755,0x9fb234c86bdde457f6affe35de721a6d2389af7b,3,969,146,1416193.4043602796119023,709974.5363104345259023,706218.868049845086,1461.499901300598154697936017,1,343,-12145.399357000000007,0.8634146341463414634146341463,-0.01139724769513740652964913155,69.95121951219512195121951219,100,30,B
ASPEN88888,0x6e2c0e9474af7d720e5aba2a5b0bb6f723b7787c,5,1000,17,121456.0460862925060304,121456.0460862925060304,0,121.4560460862925060304,359,1000,47216.009423,0.8991596638655462184873949580,0.08872514857087420088018399643,69.67365238652690332132012419,100,60,B
bvrs,0x04f661add03f080541db83c0f72eb28c8351f24a,4,996,154,875839.3833408957188668,611241.1879412998158668,264598.195399595903,879.3568105832286334004016064,26,405,120763.76159300000004,0.5410199556541019955654101996,0.05578186848891950998190891591,68.90439275925750543257659879,100,20,B
LIANGGEGE,0x9279251b5c5e13535750a71beebbc4288e3e4748,2,526,248,461572.8519300174286956,109995.7288897233276956,351577.123040294101,877.5149276236072788889733840,6,319,8673.347525,0.6539792387543252595155709343,0.007694382287508544843956860451,68.19440769569030613493140704,100,20,B
qwerqr1251251,0x2931cf68a383c734a286890bdcc86ac224347b81,3,42,12,32351.8202719247659422,17818.9999519224239422,14532.820320002342,770.2814350458277605285714286,5,42,4360.581787,0.7777777777777777777777777778,0.2215996693784578122384535805,66.64665013558955727858934569,64.0,65,B
NeverLosePatience,0x997329ff3e5ed79b12e845a2f036e34aa152bd7f,2,718,110,500077.279108532827235,337395.855038250808235,162681.424070282019,696.4864611539454418314763231,0,549,16220.159132,0.5049504950495049504950495050,0.02122870237779560102979580769,66.63569254463235430891553296,100,20,B
Aurora3979,0xce203519c2db8a050042ded95f9c6bde2ac80b7b,2,773,366,954919.8476613367975640,483590.3463912337375640,471329.501270103060,1235.342623106515908879689521,1,231,-1968.180540,0.6200527704485488126649076517,-0.002403146656458777764803023957,66.30079155672823218997361478,100,30,B
LOL-eric,0xd9670ea74384c1e1b9dc1e4267ffadaf4cdd1409,3,203,40,652602.7717565168903922,342531.3694369325873922,310071.402319584303,3214.791979096142317202955665,3,196,-19043.324802,0.5945945945945945945945945946,-0.02491152625411726286167363140,65.91891891891891891891891892,100,30,B
BettingPartners4,0x86df6ce94c9263d09a6052b43d652adb7b51d902,2,1000,18,91383.6352668135711432,45988.4183869100411432,45395.216879903530,91.3836352668135711432,7,1000,54687.843051,0.5172413793103448275862068966,0.04887713359055714345581740037,63.70247736918302958658397347,100,50,B
humkyakare,0x32d21c404498db353bd2bc47b5a35e7256908850,2,21,10,22196.711169912735,10975.434800002958,11221.276369909777,1056.986246186320714285714286,180,21,4150.200041,1,0.2878985786623927384297998578,62.66295563506727792148999289,47.696711169912735,85,C
