action,stake,conviction,condition_id,outcome,asset,title,slug,current_price,avg_entry_price,total_current_value,supporting_traders,opposing_traders,supporting_score,opposing_score,traders,opposing_outcomes
IGNORE,0,22.79214666666666666666666667,0xc5c35021d7d8d9467fa6cacb48af3fac2a72ddff620fc4a8a3348ff483178d2a,Ludovit Klein,35842553101864841591585081609657507507976524895308653020766088962463506628895,"UFC Fight Night: Ludovit Klein vs. Tofiq Musayev (Lightweight, Prelims)",ufc-lud-tof-2026-08-01,0.665,0.65,79.548,1,0,41.99,0,Trader05,
IGNORE,0,22.76258366666666666666666667,0xb37b76df0d111be33bada727b3318018b151afa5da1bde567bdc58b55f6dda4c,No,51558490781790980350308574850076096033065540282962523203906545466919041299732,Detroit Tigers winning after 5 innings?,mlb-bal-det-2026-07-28-first-five-winner-home,0.495,0.48,76.5917,1,0,41.99,0,Trader05,
IGNORE,0,22.73565666666666666666666667,0x13834c6ab983e856ae073f6a9d2789defa77c7056d7c5462f7ce1d2c1c524cd5,No,38446623745035798601852429888491984738138070485876980172888018871183619846072,Will KÍ win on 2026-07-29?,ucl-kau-ki-2026-07-29-ki,0.805,0.8,73.899,1,0,41.99,0,Trader05,
IGNORE,0,22.66249966666666666666666667,0x368cbce66aa6510efe94a5690e14748bd8e6b3d2fa7684a9f7b4112ad3f7d395,No,95404953296420351546630905396398153521366182707460592124663261303994108619593,Kelsey Mitchell: Points O/U 21.5,wnba-ind-sea-2026-07-28-points-kelsey-mitchell-21pt5,0.705,0.46,66.5833,1,0,41.99,0,Trader05,
IGNORE,0,22.62166566666666666666666667,0xbf4d30ceceb77a24ebffbd816713d7a2eee951b6ca27eb103bb504863e08dc6d,No,92027119015249097650069205087907743036358478123864300180648664996008547485853,Exact Score: CA Tigre 1 - 0 Club Nacional de Football?,sud-tig-nac-2026-07-28-exact-score-1-0,0.875,0.86,62.4999,1,0,41.99,0,Trader05,
IGNORE,0,22.62165666666666666666666667,0xf1ae4cabb50889d729845c0f5ec1b0ecfe3918805ffa25e1ec54604608e1e3ff,Yes,57683082566864311251709320610603576767900390856977717172216294826723583125284,Will Górnik Zabrze win on 2026-07-29?,ucl-gor-fen-2026-07-29-gor,0.125,0.12,62.499,1,0,41.99,0,Trader05,
IGNORE,0,22.52109966666666666666666667,0x8815667c089cb202338e26b193c3f2e4ba763d0e1681e6b7ff0c9ec0cd2cd6e2,No,49060827146221976065285858600062540726516497575422796195623329811338261226463,Exact Score: CA Tigre 1 - 1 Club Nacional de Football?,sud-tig-nac-2026-07-28-exact-score-1-1,0.855,0.84,52.4433,1,0,41.99,0,Trader05,
IGNORE,0,22.50766666666666666666666667,0xd7d6c639a81f153e511723c57c6a08ede838bfad7c339316c8276e1bd23c3aee,No,53284225010984838634917854527100545201479666073866917504998786758824429497323,Exact Score: Heart of Midlothian FC 2 - 0 SK Puntigamer Sturm Graz?,ucl-hmi-stu1-2026-07-28-exact-score-2-0,0.511,0.92,51.1,1,0,41.99,0,Trader05,
IGNORE,0,22.49905266666666666666666667,0x7cfb4871d31c1b3d11f74e69ab1adb0c47ba146e18fc356fbf609367e786a2a0,New York Yankees,41796366856234789115213305873770760018073374414312530654146499648056831944766,Spread: New York Yankees (-1.5),mlb-nyy-cws-2026-07-28-spread-away-1pt5,0.385,0.41,50.2386,1,0,41.99,0,Trader05,
IGNORE,0,22.45416666666666666666666667,0xf5477cd4ff436283746b2c50ec46d313a1f863c2bf2548e1de3ae3a248b064d8,Yes,114948102581181431020995724641571160795595715745248255954454896979410941861524,Heart of Midlothian FC vs. SK Puntigamer Sturm Graz: Both Teams to Score,ucl-hmi-stu1-2026-07-28-btts,0.305,0.63,45.75,1,0,41.99,0,Trader05,
