condition_id,asset,title,slug,outcome,traders,entry_supporting_traders,supporting_traders,date_first_seen,entry_price,current_price,consensus_active,status,exit_price,pct_return,last_updated
0xb743a55c7570de6dbc6ac5e584f98cc39edd3a1058c5c774fa88d8bc271f1b2f,31174485545012622680744632010357416264529839717800002111221218193628498921495,"UFC Fight Night: Wellington Turman vs. Islam Dulatov (Welterweight, Main Card)",ufc-wel-isl2-2026-07-25,Islam Dulatov,"Trader05, Trader10",2,2,2026-07-25 10:22 UTC,0.7584223621424880091177124352,0.515,yes,OPEN,,,2026-07-25 12:52 UTC
0x9e2d24908d5333e826e35b89e682ab8c4883dfbbcd84f41e1787853b12f8c2ff,70970432803893808644388302059718904265150375052906330856028703292129749183768,O/U 1.5 Rounds,ufc-wel-isl2-2026-07-25-totals-1pt5,Under,"Trader05, Trader10",2,2,2026-07-25 10:34 UTC,0.6843369774713893842819555186,0.505,yes,OPEN,,,2026-07-25 12:52 UTC
0x6a787fb7957d31f0a4dea08961ac59b5e2e244b203bd42a07d069d4bdb79a048,92346236765523951476048709122602997509540964455073508553691979592411370595746,Toronto Blue Jays vs. Boston Red Sox,mlb-tor-bos-2026-07-25,Boston Red Sox,"Trader05, Trader06",2,2,2026-07-25 11:16 UTC,0.5242028985507246376811594203,0.515,yes,OPEN,,,2026-07-25 12:52 UTC
0xfdd3119f3fdd3da61c2e3368ea21512dbe2660814d7b802433a65fb6635efcb2,59862948090398920879159368113593468031988704342460561018628480476570673643412,Minnesota Lynx vs. Seattle Storm,wnba-min-sea-2026-07-22,Minnesota Lynx,"Trader05, Trader10, Trader15",,0,2026-07-22 20:42 UTC,0.7822302928053278288118405173,0.9995,no,CLOSED,0.9995,27.78,2026-07-22 21:54 UTC
0x2897372c1e1aadfcc6c8b781b3a026f1d856605d00fa63d3a35440b508d24401,42557077158611184354808963863799130645254896324342812671445037456281509554061,Connecticut Sun vs. Indiana Fever,wnba-conn-ind-2026-07-22,Indiana Fever,"Trader05, Trader15",,1,2026-07-22 20:42 UTC,0.81,0.815,no,CLOSED,0.815,0.62,2026-07-22 23:11 UTC
0xc0df3517400ed1e8f875b91b8b50720bcec071d7d7f9d72835e346b3f34df27e,101831920779759249507718947232320519206599507850318801838846225483126007150933,Chicago White Sox vs. Texas Rangers,mlb-cws-tex-2026-07-22,Chicago White Sox,"Trader05, Trader10",,1,2026-07-22 20:42 UTC,0.5139357429718875502008032129,0.535,no,CLOSED,0.535,4.10,2026-07-23 01:05 UTC
0x9c194537a7fb54bf7240f483d05b8f8f1cfb0e8f5f8cd72c237d3dcd87ef41c3,26159590766346432361936051414390584319604384060950546626001036526409809819459,Washington Nationals vs. Colorado Rockies: O/U 11.5,mlb-wsh-col-2026-07-22-total-11pt5,Over,"Trader03, Trader10, Trader14",3,2,2026-07-22 20:42 UTC,0.4873299398552670348804594158,0,no,LOSS,0,-100.00,2026-07-23 18:15 UTC
0x37818f22a6463f94cc16070ab06f3acd4753c74c0182277d21fa0d6367355a60,54981923263668684426492587430478706360307742779954095969557473090771479374129,St. Louis Cardinals vs. Los Angeles Angels,mlb-stl-laa-2026-07-22,St. Louis Cardinals,"Trader05, Trader06, Trader09",3,0,2026-07-22 20:42 UTC,0.4473738169959275981022771036,1,no,WIN,1,123.53,2026-07-23 18:15 UTC
0x65e439ac10b93e7b3d44a164ae64e19d5c1b2c40cde2c6b01edaf9f9405aa22c,11190033296411034680779208660271974331408425903210763359596435127425420291002,Spread: New York Liberty (-8.5),wnba-chi-nyl-2026-07-22-spread-home-8pt5,Chicago Sky,"Trader05, Trader10, Trader15",3,0,2026-07-22 20:42 UTC,0.5105195771389203960584310817,1,no,WIN,1,95.88,2026-07-23 18:15 UTC
0xf18688eccdccfd8f324f4d1e766af47a92c17de28ff579a93c94202f48ab3431,113417543989770716017777830739023761466989555385518159339747815310347025556934,San Diego Padres vs. Atlanta Braves,mlb-sd-atl-2026-07-22,Atlanta Braves,"Trader05, Trader06",2,0,2026-07-22 20:42 UTC,0.51,1,no,WIN,1,96.08,2026-07-23 18:15 UTC
0x6825d9518cb15d2b3f2b1472634e454c7eede410f7b6a0cab4c63260a88b8c5e,50420161386818356202243161206625482469390664232665776094095952156156775506965,Cincinnati Reds vs. Seattle Mariners,mlb-cin-sea-2026-07-22,Seattle Mariners,"Trader03, Trader09, Trader10",3,1,2026-07-22 21:08 UTC,0.4989608329418519678463305147,0,no,LOSS,0,-100.00,2026-07-23 18:15 UTC
