condition_id,asset,title,slug,outcome,traders,date_first_seen,signal_price,fill_price_buy,stake_usd_requested,stake_usd_actual,shares_held,order_id_buy,status,fill_price_sell,order_id_sell,realized_pnl_usd,pct_return,date_closed,last_updated
0xff67fbcab3b1c6546fe357f063e2789e87c9c64da3d99a5becdeabb829409579,56569795484059247269700203934049619706021547254607060005453895672794721553041,Indiana Fever vs. Seattle Storm: O/U 186.5,wnba-ind-sea-2026-07-28-total-186pt5,Under,"Trader03, Trader15",2026-07-29 01:28:07 UTC,0.495,,20.0,,,,ERROR,,,,,,2026-07-29 01:30:04 UTC
0xc04be1b452b8fbe72a2a9406a543324a277afc13ffea75801ba7851da041f979,18190074676924925240294562689092039875217218410458868338253173091992302630829,PortlandFire vs. Las Vegas Aces: O/U 176.5,wnba-por-las-2026-07-28-total-176pt5,Under,"Trader05, Trader15",2026-07-29 01:28:07 UTC,0.485,0.4799999911836731815076957227,20.0,19.59999900000000000000000000,40.833332,0xf7ce1bec7359eb6e0452ccc2e7fb0dc091f2aecefe2c6b9f27c6b33e23c6fec9,LOST,0,,-19.59999900000000000000000000,-100,2026-07-29 04:53:20 UTC,2026-07-29 04:53:20 UTC
0x9a2e224a552fa09ae95c8fb1587db8505a2014ce159b06a12e061558d7434bb2,30251853029331717378887988364818253288258088498175540542059545376028292526548,Spread: Los Angeles Dodgers (-1.5),mlb-sea-lad-2026-07-28-spread-home-1pt5,Seattle Mariners,"Trader03, Trader05",2026-07-29 02:10:07 UTC,0.485,,20.0,,,,ERROR,,,,,,2026-07-29 02:12:04 UTC
0xa1697abd11c8ea74bf559201f03d8126f0dbc39221501aac8524f53c3fac627f,96825696523513707098137292916238612998035427360513325871936336131210560361917,Colorado Rockies vs. San Diego Padres,mlb-col-sd-2026-07-28,San Diego Padres,"Trader03, Trader09",2026-07-29 02:20:07 UTC,0.845,0.72,20.0,19.9800,27.75,0xe7d8044b1c8b05365e123cb0dd0e3d38b682c2d7cc51a17d15df7c0614b41bee,WON_UNREDEEMED,1,,,,2026-07-29 05:28:04 UTC,2026-07-29 05:28:04 UTC
0x09ffd4e5a2a0cec17d57eb96fa26ef7df5d4c5d04a299f70b2a8fa045750ed9d,102917918811869979415461409542843770485649277453359727891905742668905170741810,Toronto Blue Jays vs. Washington Nationals,mlb-tor-wsh-2026-07-28,Washington Nationals,"Trader03, Trader05",2026-07-29 02:32:06 UTC,0.835,,20.0,,,,ERROR,,,,,,2026-07-29 02:34:03 UTC
0x2379a07d1dc779edb1bdc7e520fa2b3d9fd204d2aea8cb792fc28b1d057420d3,50723506332833089528002209095921517410123158857711528157284171858158446016671,Milwaukee Brewers vs. San Francisco Giants,mlb-mil-sf-2026-07-28,Milwaukee Brewers,"Trader03, Trader09",2026-07-29 02:54:06 UTC,0.825,0.8399999949039431504282089169,20.0,19.77999900000000000000000000,23.547618,0x751cddf9432f44635909509fc7b569c4500ec651bde4cf55b52592a2763082c4,WON_UNREDEEMED,1,,,,2026-07-29 05:18:03 UTC,2026-07-29 05:18:03 UTC
0xa2e0029e9d3924c2c7afa2e4649cba2967dab0d31a2eeb75b24a8591ed0f5a9d,12168152022343129626267197320562306417817037306440556268349365437531887386604,Arizona Diamondbacks vs. Pittsburgh Pirates,mlb-ari-pit-2026-07-29,Arizona Diamondbacks,"Trader05, Trader06",2026-07-29 08:10:06 UTC,0.445,0.4399999964764763283403461364,20.0,19.97999900000000000000000000,45.409089,0x0a26f3852999dc01840609a75e78539cd68b74db9bc49c43986149bb433ae347,EXECUTED,,,,,,2026-07-29 08:12:04 UTC
0xfa820b4d62ad99e6ca4af7221e5d39f13c772f4f48fe8b7359aa741de906078a,17994646193546888657515594477701492001776513977756324239824493058304347536962,Chicago Cubs vs. St. Louis Cardinals,mlb-chc-stl-2026-07-29,Chicago Cubs,"Trader05, Trader06",2026-07-29 13:54:07 UTC,0.515,0.5,20.0,19.890,39.78,0xd1e2be5c24a165e415ea144c97fdec35498f0b78f052b4418e8711cd77612bc7,EXECUTED,,,,,,2026-07-29 13:56:04 UTC
0x55def4d77b4f051b6a526f3fc12880ab075ff6766a80d0b88c609686fcaf23e0,46917890429413561878074938049622091744334169944528154681870286406054653488300,Baltimore Orioles vs. Detroit Tigers,mlb-bal-det-2026-07-29,Baltimore Orioles,"Trader05, Trader09",2026-07-29 16:22:07 UTC,0.365,0.36,20.0,19.980,55.5,0x4017cc654c96a2af6488986f009ec273000388d6f7a70f5acf1519afdc960edc,CLOSED,0.36,0x729b8d4e93720d5a12a2fb47515d931faee4682528c6f2e99d2c5a76b52a0905,0.000,0,2026-07-29 17:14:04 UTC,2026-07-29 17:14:04 UTC
0xeb24a4ebd21a1351b50151b8213cea02ea0e822f5aee2c4d5d72c452235db1b0,96422939519289366880893962148221088840987521908015257760170039963058804584976,Milwaukee Brewers vs. San Francisco Giants,mlb-mil-sf-2026-07-29,Milwaukee Brewers,"Trader05, Trader09",2026-07-29 17:46:06 UTC,0.495,0.5,20.0,19.890,39.78,0x190bba118f87df9ef4ca6b851fe2c032f573e6c6c55a6525f6d15fa62be85a42,EXECUTED,,,,,,2026-07-29 17:48:03 UTC
